1x,Aggravated Assault,Explorers of Ixalan,2017-11-24,False,False
1x,Alchemist's Refuge,Avacyn Restored,2012-05-04,False,False
1x,Altered Ego,Shadows over Innistrad,2016-04-08,False,False
1x,Aqueous Form,Theros,2013-09-27,False,False
1x,Arcane Signet,Ikoria Commander,2020-04-24,False,False
1x,As Foretold,Amonkhet,2017-04-28,False,False
1x,Bala Ged Recovery // Bala Ged Sanctuary,Zendikar Rising,2020-09-18,False,False
1x,Bear Umbra,Rise of the Eldrazi,2010-04-23,False,False
1x,Blasphemous Act,Innistrad,2011-09-30,False,False
1x,Blood Moon,Double Masters,2020-08-07,False,False
1x,Breeding Pool,Ravnica Allegiance,2019-01-25,False,False
1x,Broken Bond,Dominaria,2018-04-27,False,False
1x,Cascade Bluffs,Eventide,2008-07-25,False,False
1x,"Chandra, Torch of Defiance",Kaladesh,2016-09-30,False,False
1x,Chromatic Lantern,Guilds of Ravnica,2018-10-05,False,False
1x,Combat Celebrant,Amonkhet,2017-04-28,False,False
1x,Command Beacon,Commander 2015,2015-11-13,False,False
1x,Command Tower,Ikoria Commander,2020-04-24,False,False
1x,"Cosima, God of the Voyage // The Omenkeel",Kaldheim,2021-01-29,False,False
1x,Cultivate,Core Set 2021,2020-07-01,False,False
1x,Dockside Extortionist,Commander 2019,2019-08-23,False,False
1x,Domri's Ambush,War of the Spark,2019-05-03,True,False
1x,"Domri, Anarch of Bolas",War of the Spark,2019-05-03,False,False
1x,Embercleave,Throne of Eldraine,2019-10-04,False,False
1x,Expel from Orazca,Rivals of Ixalan,2018-01-19,False,False
1x,Exploration,Double Masters,2020-08-07,False,False
1x,Fabled Passage,Throne of Eldraine,2019-10-04,False,False
1x,Farseek,Ravnica: City of Guilds,2005-10-07,False,False
1x,Fire-Lit Thicket,Shadowmoor,2008-05-02,False,False
1x,Flooded Grove,Eventide,2008-07-25,False,False
6x,Forest,Zendikar Rising,2020-09-18,False,False
1x,Growth Spiral,Ravnica Allegiance,2019-01-25,False,False
1x,Gruul Signet,Ravnica Kit Series 2,2019-02-15,False,False
1x,"Haldan, Avid Arcanist",Ikoria Commander,2020-04-24,True,False
1x,Helm of the Host,Dominaria,2018-04-27,False,False
1x,Herald of Secret Streams,Ixalan,2017-09-29,False,False
1x,Hinterland Harbor,Dominaria,2018-04-27,False,False
1x,Horizon Stone,Commander Legends,2020-11-20,False,False
4x,Island,Zendikar Rising,2020-09-18,False,False
1x,Izzet Signet,Guild Kit Series 1,2018-09-29,False,False
1x,Ketria Triome,Ikoria: Lair of Behemoths,2020-04-24,False,False
1x,Kodama's Reach,Modern Masters,2013-06-07,False,False
1x,"Koma, Cosmos Serpent",Kaldheim,2021-01-29,False,False
1x,Lotus Cobra,Zendikar Rising,2020-09-18,False,False
1x,Memory Lapse,Eternal Masters,2016-06-10,True,False
1x,Misty Rainforest,Zendikar,2009-10-02,False,False
1x,"Moraug, Fury of Akoum",Zendikar Rising,2020-09-18,False,False
2x,Mountain,Zendikar Rising,2020-09-18,False,False
1x,Mystical Tutor,Mirage,1996-10-07,False,False
1x,Narset's Reversal,War of the Spark,2019-05-03,False,False
1x,Oblivion Sower,Zendikar v Eldrazi Duel Deck,2015-08-21,True,False
1x,"Oko, Thief of Crowns",Throne of Eldraine,2019-10-04,False,False
1x,"Omnath, Locus of Rage",Zendikar Rising Commander,2020-09-18,False,False
1x,"Pako, Arcane Retriever",Ikoria Commander,2020-04-24,True,False
1x,Personal Tutor,Portal,1997-06-01,False,False
1x,Prismatic Vista,Modern Horizons,2019-06-14,False,False
1x,Rampant Growth,10th Edition,2007-07-13,False,False
1x,Reality Shift,Fate Reforged,2015-01-23,False,False
1x,Reclaim,Magic 2012,2011-07-15,False,False
1x,Rejuvenating Springs,Commander Legends,2020-11-20,False,False
1x,Return to Nature,Core Set 2021,2020-07-01,True,False
1x,Rogue's Passage,Ikoria Commander,2020-04-24,False,False
1x,Sakashima of a Thousand Faces,Commander Legends,2020-11-20,False,False
1x,Sakashima the Impostor,Saviors of Kamigawa,2005-06-03,False,False
1x,Savage Beating,Darksteel,2004-02-06,False,False
1x,Scalding Tarn,Zendikar,2009-10-02,False,False
1x,Sea Gate Stormcaller,Zendikar Rising,2020-09-18,True,False
1x,Seasons Past,Shadows over Innistrad,2016-04-08,False,False
1x,Simic Signet,Ravnica Kit Series 2,2019-02-15,False,False
1x,Sol Ring,Commander 2014,2014-11-07,False,False
1x,Spark Double,War of the Spark,2019-05-03,False,False
1x,Spire Garden,Battlebond,2018-06-08,False,False
1x,Steam Vents,Guilds of Ravnica,2018-10-05,False,False
1x,Stomping Ground,Ravnica Allegiance,2019-01-25,False,False
1x,Strip Mine,Zendikar Rising Expedition,2020-09-18,False,False
1x,Sulfur Falls,Innistrad,2011-09-30,False,False
1x,Summer Bloom,Visions,1997-02-03,False,False
1x,Swiftfoot Boots,Commander 2017,2017-08-25,False,False
1x,Sword of Feast and Famine,Double Masters,2020-08-07,False,False
1x,Sword of Light and Shadow,Double Masters,2020-08-07,False,False
1x,Temple of Epiphany,Journey into Nyx,2014-05-02,False,False
1x,Temple of Mystery,Theros,2013-09-27,False,False
1x,Temple of the False God,Commander 2015,2015-11-13,False,False
1x,Temporal Spring,Apocalypse,2001-06-04,False,False
1x,Temur Battle Rage,Commander Legends,2020-11-20,True,False
1x,Time Warp,Tempest,1997-10-13,False,False
1x,Trailblazer's Boots,Zendikar,2009-10-02,False,False
1x,Training Center,Commander Legends,2020-11-20,False,False
1x,"Uro, Titan of Nature's Wrath",Theros Beyond Death,2020-01-24,False,False
1x,Veil of Summer,Core Set 2020,2019-07-21,True,False
1x,Voidslime,Ravnica Kit Series 2,2019-02-15,False,False
1x,Wooded Foothills,Khans of Tarkir,2014-09-26,False,False
1x,Worldly Tutor,Mirage,1996-10-07,False,False
