1x,"Agadeem's Awakening // Agadeem, the Undercrypt",Zendikar Rising,2020-09-18,False,False
1x,Ancient Greenwarden,Zendikar Rising,2020-09-18,False,False
1x,Assassin's Trophy,Guilds of Ravnica,2018-10-05,False,False
1x,Avenger of Zendikar,Worldwake,2010-02-05,False,False
1x,"Azusa, Lost but Seeking",Champions of Kamigawa,2004-10-01,False,False
1x,Barren Moor,Modern Horizons,2019-06-14,False,False
1x,Bedevil,Ravnica Allegiance,2019-01-25,False,False
1x,Blood Crypt,Ravnica Allegiance,2019-01-25,False,False
1x,Bloodstained Mire,Onslaught,2002-10-07,False,False
1x,Bojuka Bog,Worldwake,2010-02-05,False,False
1x,"Boseiju, Who Shelters All",Champions of Kamigawa,2004-10-01,False,False
1x,Cabal Coffers,Planechase,2009-09-04,False,False
1x,Canyon Slough,Amonkhet,2017-04-28,False,False
1x,Castle Locthwain,Throne of Eldraine,2019-10-04,True,False
1x,Cavalier of Flame,Core Set 2020,2019-07-21,False,False
1x,Cinder Glade,Battle for Zendikar,2015-10-02,False,False
1x,Command Tower,Commander 2018,2018-08-10,False,False
1x,Crop Rotation,Double Masters,2020-08-07,False,False
1x,Crucible of Worlds,Masterpiece: Kaladesh,2016-09-29,True,False
1x,Cultivate,Magic 2011,2010-07-16,False,False
1x,Dakmor Salvage,Future Sight,2007-05-24,False,False
1x,Damnation,Planar Chaos,2007-02-02,False,False
1x,Decree of Annihilation,Scourge,2003-05-26,False,False
1x,Dragonmaster Outcast,Battle for Zendikar,2015-10-02,False,False
1x,Dread Presence,Core Set 2020,2019-07-21,True,False
1x,Dryad of the Ilysian Grove,Theros Beyond Death,2020-01-24,False,False
1x,Elvish Reclaimer,Core Set 2020,2019-07-21,False,False
1x,Evolution Sage,War of the Spark,2019-05-03,False,False
1x,Exploration,Urzas Saga,1998-10-12,False,False
1x,Explore,Worldwake,2010-02-05,False,False
1x,Fabled Passage,Throne of Eldraine,2019-10-04,False,False
1x,Field of the Dead,Core Set 2020,2019-07-21,False,False
1x,Finale of Devastation,War of the Spark,2019-05-03,False,False
5x,Forest,Zendikar,2009-10-02,False,False
1x,Forgotten Cave,Modern Horizons,2019-06-14,False,False
1x,God-Eternal Bontu,War of the Spark,2019-05-03,True,False
1x,God-Eternal Rhonas,War of the Spark,2019-05-03,False,False
1x,Golgari Rot Farm,Guild Kit Series 1,2018-09-29,False,False
1x,Gruul Turf,Ravnica Kit Series 2,2019-02-15,False,False
1x,Harrow,Zendikar,2009-10-02,False,False
1x,Jokulhaups,Ice Age,1995-06-01,False,False
1x,Kodama's Reach,Champions of Kamigawa,2004-10-01,False,False
1x,Life from the Loam,Izzet v Golgari Duel Deck,2012-09-07,False,False
1x,Lord Windgrace,Commander 2018,2018-08-10,True,False
1x,Lotus Field,Core Set 2020,2019-07-21,False,False
1x,Maelstrom Pulse,Modern Masters,2013-06-07,False,False
1x,Misty Rainforest,Zendikar,2009-10-02,False,False
2x,Mountain,Zendikar,2009-10-02,False,False
1x,Nature's Claim,Worldwake,2010-02-05,False,False
1x,"Nissa, Who Shakes the World",War of the Spark,2019-05-03,False,False
1x,Nurturing Peatland,Modern Horizons,2019-06-14,False,False
1x,"Ob Nixilis, the Fallen",Zendikar,2009-10-02,False,False
1x,Obliterate,Invasion,2000-10-02,False,False
1x,"Omnath, Locus of Rage",Battle for Zendikar,2015-10-02,False,False
1x,Oracle of Mul Daya,Zendikar,2009-10-02,False,False
1x,Overgrown Tomb,Guilds of Ravnica,2018-10-05,False,False
1x,"Phylath, World Sculptor",Zendikar Rising,2020-09-18,False,False
1x,Price of Glory,Odyssey,2001-10-01,False,False
1x,Prismatic Omen,Shadowmoor,2008-05-02,False,False
1x,Prismatic Vista,Modern Horizons,2019-06-14,False,False
1x,Pyroblast,Ice Age,1995-06-01,False,False
1x,Raging Ravine,Worldwake,2010-02-05,False,False
1x,Rampaging Baloths,Zendikar Promos,2009-10-02,True,False
1x,Ramunap Excavator,Hour of Devastation Promos,2017-07-14,True,False
1x,Realms Uncharted,Rise of the Eldrazi,2010-04-23,False,False
1x,Rootbound Crag,Ixalan,2017-09-29,False,False
1x,Scapeshift,Morningtide,2008-02-01,False,False
1x,Sheltered Thicket,Amonkhet,2017-04-28,False,False
1x,Sol Ring,Commander 2018,2018-08-10,False,False
1x,Spire Garden,Battlebond,2018-06-08,False,False
1x,Splendid Reclamation,Eldritch Moon,2016-07-22,False,False
1x,Springbloom Druid,Modern Horizons,2019-06-14,False,False
1x,Stomping Ground,Ravnica Allegiance,2019-01-25,False,False
1x,Swamp,Zendikar,2009-10-02,False,False
1x,Sylvan Scrying,Mirrodin,2003-10-03,False,False
1x,The Gitrog Monster,Shadows over Innistrad,2016-04-08,False,False
1x,The Mending of Dominaria,Dominaria,2018-04-27,False,False
1x,Tranquil Thicket,Modern Horizons,2019-06-14,False,False
1x,Ulvenwald Hydra,Shadows over Innistrad,2016-04-08,False,False
1x,Undergrowth Stadium,Commander Legends,2020-11-20,False,False
1x,"Urborg, Tomb of Yawgmoth",Planar Chaos,2007-02-02,False,False
1x,"Vaevictis Asmadi, the Dire",Core Set 2019,2018-07-13,True,False
1x,"Valakut, the Molten Pinnacle",Zendikar,2009-10-02,False,False
1x,Vampiric Tutor,Eternal Masters,2016-06-10,False,False
1x,Veil of Summer,Core Set 2020,2019-07-21,True,False
1x,Verdant Catacombs,Zendikar,2009-10-02,False,False
1x,Volrath's Stronghold,Stronghold,1998-03-02,False,False
1x,"Vraska, Golgari Queen",Guilds of Ravnica,2018-10-05,False,False
1x,Wasteland,Eternal Masters,2016-06-10,False,False
1x,Wayward Swordtooth,Rivals of Ixalan,2018-01-19,False,False
1x,Windgrace's Judgment,Commander 2018,2018-08-10,False,False
1x,Windswept Heath,Onslaught,2002-10-07,False,False
1x,Wooded Foothills,Onslaught,2002-10-07,False,False
1x,World Breaker,Oath of the Gatewatch,2016-01-22,False,False
1x,Worm Harvest,Eventide,2008-07-25,False,False
1x,Wrenn and Six,Modern Horizons,2019-06-14,False,False
